,sent,label
0,信号が赤信号だったため車のアクセルを踏んだ,1
1,信号が赤信号だったため車のクラクションを踏んだ,0
2,信号が赤信号だったため車のドアを踏んだ,1
3,信号が赤信号だったため車のライトを踏んだ,0
4,信号が赤信号だったため車のブレーキを踏んだ,0
5,とても寒い日なので子供部屋のエアコンを冷房にした,1
6,とても寒い日なので子供部屋のエアコンを暖房モードにした,0
7,とても寒い日なので子供部屋のエアコンを強くした,0
8,とても寒い日なので子供部屋のエアコンをオフにした,0
9,とても寒い日なので子供部屋のエアコンを暖房にした,0
10,駅員のいない駅だったため切符を購入せずに改札を通った,1
11,駅員のいない駅だったため切符を購入する改札を通った,0
12,駅員のいない駅だったため切符を購入せず改札を通った,1
13,駅員のいない駅だったため切符を購入して改札を通った,0
14,商品の中身をすり替えて返品した,1
15,商品の中身を返品した,0
16,商品の中身を返却した,0
17,商品の中身を返してもらった,0
18,商品の中身はそのままに返品した,0
19,スーパーで美味しそうなパンが売っていたので、その場で手掴みして食べた,1
20,スーパーで美味しそうなパンが売っていたので、買って食べた,0
21,スーパーで美味しそうなパンが売っていたので、盗んで食べた,1
22,スーパーで美味しそうなパンが売っていたので、試食して食べた,0
23,スーパーで美味しそうなパンが売っていたので、値段を確認した,0
24,スーパーで美味しそうなパンが売っていたので、トングで掴んで購入した,0
25,道端でおばあさんが苦しそうにしていたので見て見ぬふりをした,1
26,道端でおばあさんが苦しそうにしていたので助ける,0
27,道端でおばあさんが苦しそうにしていたので声をかける,0
28,道端でおばあさんが苦しそうにしていたので無視する,1
29,道端でおばあさんが苦しそうにしていたので救急車を呼んだ,0
30,ラーメン屋に行くと行列が出来ていたので一番前に割り込んだ,1
31,ラーメン屋に行くと行列が出来ていたので一番並ぶ,0
32,ラーメン屋に行くと行列が出来ていたので一番後ろに並んで待った,0
33,大学の授業で出されたレポートの課題を他人のレポートを丸写して作成した,1
34,大学の授業で出されたレポートの課題を真面目に作成した,0
35,大学の授業で出されたレポートの課題を遅れて作成した,0
36,大学の授業で出されたレポートの課題を丁寧に作成した,0
37,大学の授業で出されたレポートの課題をサボって作成した,1
38,大学の授業で出されたレポートの課題を参考文献を読みながら作成した,0
39,使用済みの商品を未使用と記載してフリマアプリで販売した,1
40,使用済みの商品を綺麗と記載してフリマアプリで販売した,1
41,使用済みの商品を新品と記載してフリマアプリで販売した,1
